id,ticket_id,alert_id,full_log,description,suggestion,is_created
1,NULL,1715072752,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
2,NULL,1715072822,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
3,NULL,1715074683,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
4,NULL,1715074797,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
5,NULL,1715076543,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
6,NULL,1715076598,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
7,NULL,1715078401,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
8,NULL,1715078435,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
9,NULL,1715079901,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
10,NULL,1715079935,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
11,NULL,1715081881,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
12,NULL,1715081998,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
13,NULL,1715083861,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
14,NULL,1715084070,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
15,NULL,1715085721,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
16,NULL,1715085898,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
17,NULL,1715087521,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
18,NULL,1715087735,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
19,NULL,1715089380,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
20,NULL,1715089534,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
21,NULL,1715091183,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which pertains to the Execution tactic\, specifically the PowerShell technique. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing the associated user and context of the command. 2. Examine the PowerShell script contents for any malicious intent or unauthorized commands. 3. Check the agent's recent activities and command history for any other unusual actions. 4. Review and analyze logs for any related events or anomalies around the time of the script execution. 5. Update or create firewall and IDS rules to monitor and potentially block similar unauthorized activities. 6. Conduct a broader security audit on the DC to ensure no other suspicious activities have occurred. 7. Inform relevant cybersecurity teams and stakeholders about the incident for further investigation and response.",FALSE
22,NULL,1715091351,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential unmanaged PowerShell execution. The alert details are as follows: A binary loaded PowerShell automation library was executed by a suspicious process on Agent (056) - DC. This activity is associated with the MITRE technique T1059.001\, under the tactic 'Execution'. Immediate actions required include: 1. Verify the legitimacy of the process involved in the PowerShell execution. 2. Review the PowerShell scripts or commands executed by the process. 3. Check for any other anomalous activities or alerts related to this agent. 4. Investigate the source and intent of the PowerShell usage to determine if it was part of a legitimate task or a potential security breach. 5. Update or create firewall and security rules to monitor and control PowerShell execution within the network. 6. Document all findings and actions taken in response to this alert for further review and compliance.",FALSE
23,NULL,1715093042,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from the agent labeled '(056) - DC'. This activity is associated with the MITRE technique ID T1059.001\, which falls under the 'Execution' tactic. Immediate actions required include: 1. Isolate the affected system to prevent any potential spread or further unauthorized actions. 2. Conduct a thorough investigation of the system logs around the time of the alert to identify any unauthorized commands or alterations made. 3. Review all recent PowerShell command executions and scripts run on the system to ascertain the scope and intent of the commands executed. 4. Update and enforce firewall and endpoint detection rules to detect and block similar attempts in the future. 5. After the investigation\, consider rolling back the system to a known good state if any unauthorized changes are detected.",FALSE
24,NULL,1715093151,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security incident involving unmanaged PowerShell execution. The alert details a binary loaded PowerShell automation library executed by a suspicious process on Agent (056) - DC. This activity is associated with MITRE ID T1059.001\, which pertains to the Execution tactic and specifically the PowerShell technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check for any recent changes or updates to PowerShell scripts and modules on the affected system. 3. Review logs for any anomalous activities or commands executed prior to the alert. 4. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 5. Conduct a full system scan to identify any other potential threats or compromises. 6. Update and enforce endpoint detection and response (EDR) rules to detect similar activities in the future.",FALSE
25,NULL,1715094873,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which pertains to the Execution tactic and PowerShell technique. Immediate actions are required to investigate and mitigate potential threats:

1. Verify the legitimacy of the PowerShell script execution by reviewing the script content and the context in which it was run.
2. Identify the user account under which the PowerShell command was executed and review its recent activities for any anomalies.
3. Check the system logs around the time of the alert to identify any related events or changes made to the system.
4. Isolate the affected system to prevent any potential lateral movement or further unauthorized actions.
5. Conduct a thorough scan of the system using updated antivirus and anti-malware tools to detect any other malicious activities or remnants.
6. Review and strengthen security policies and controls around the use of administrative tools and PowerShell execution policies.
7. Prepare a detailed incident report documenting the findings\, actions taken\, and recommendations for preventing similar incidents in the future.",FALSE
26,NULL,1715094951,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, suggesting possible unmanaged PowerShell execution by a suspicious process on Agent (056) - DC. Immediate actions are required to investigate and mitigate this issue to prevent any potential breach or malicious activity within the network. Steps to address the alert:1. Verify the alert's source by checking the WAZUH ID and the specific agent involved.2. Review the PowerShell execution logs on the specified agent to identify any unusual or unauthorized commands that were executed.3. Analyze the process that initiated the PowerShell execution to determine its origin and legitimacy.4. Check for any external connections that were established during the time of the alert to identify potential command and control (C2) communications.5. Isolate the affected system to prevent any lateral movement or further unauthorized activities.6. Perform a full system scan to detect any other potential threats or anomalies.7. Update security measures and rules on the IDS/IPS systems to detect and prevent similar incidents.8. Conduct a thorough investigation to determine the cause of the incident and document all findings for future reference.",FALSE
27,NULL,1715096673,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, which is commonly used for remote script execution. This activity was detected on agent (056) - DC and is associated with rule 91822. The MITRE ATT&CK framework identifies this as Technique T1059.001 under the 'Execution' tactic. Immediate actions required include: 1. Verify the legitimacy of the script execution context. 2. Review the command and script contents executed by the 'Invoke-command' cmdlet. 3. Check for any additional network connections or processes initiated by this PowerShell execution. 4. Investigate the origin of the script to determine if it was authorized. 5. Update or create firewall rules to block unauthorized outbound connections if necessary. 6. Conduct a thorough audit of the affected system and related systems for any further signs of compromise.",FALSE
28,NULL,1715096752,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details are as follows:

- Alert ID: 1715096752.1110443488
- Description: Binary loaded PowerShell automation library - Possible unmanaged PowerShell execution by suspicious process
- Affected Agent: (056) - DC
- Rule ID: 92151
- MITRE ID: T1059.001
- MITRE Tactic: Execution
- MITRE Technique: PowerShell

Immediate Actions Required:
1. Verify the legitimacy of the PowerShell execution by reviewing the process and command line arguments involved.
2. Check the user context under which the PowerShell was executed to ascertain if it was authorized.
3. Review the system and security logs around the time of the alert to identify any related suspicious activity.
4. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities.
5. Perform a detailed forensic analysis on the affected system to determine the scope of the incident.
6. Update and enforce security policies to restrict unauthorized use of PowerShell across the network.",FALSE
29,NULL,1715098500,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell\, which was executed on the agent identified as '(056) - DC'. This activity is associated with the MITRE ID T1059.001\, categorized under the 'Execution' tactic and 'PowerShell' technique. Immediate actions are required to investigate and mitigate potential threats. Steps include: 1. Verify the legitimacy of the script execution by reviewing the command history and context of usage. 2. Identify the user account that initiated the command and check for any recent unauthorized access or anomalies associated with this account. 3. Examine related logs and alerts in WAZUH and other security tools to detect similar or related suspicious activities. 4. Isolate the affected system to prevent further unauthorized activities while conducting the investigation. 5. Update PowerShell execution policies to restrict script execution and enhance monitoring of PowerShell activities.",FALSE
30,NULL,1715098552,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving unmanaged PowerShell execution. The alert details a binary-loaded PowerShell automation library executed by a suspicious process on Agent (056) - DC. This activity is associated with the MITRE ID T1059.001\, which pertains to the Execution tactic and PowerShell technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check for any recent changes or updates made to the PowerShell scripts or environment settings. 3. Review the security logs for any unauthorized access or anomalous activities around the time of the alert. 4. Isolate the affected system to prevent any potential spread or escalation of the issue. 5. Conduct a thorough investigation to determine the source and intent of the execution\, involving checking network logs for any external connections made during the time frame. 6. Update and enforce security policies to restrict unauthorized PowerShell executions in the future.",FALSE
31,NULL,1715100300,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Detected PowerShell Script Execution on Domain Controller,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script on the Domain Controller (Agent 056 - DC). This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions are required to investigate and mitigate potential threats:

1. Verify the authenticity of the PowerShell script execution by reviewing the command history and script contents.
2. Check the user accounts that executed the script\, especially focusing on any recent or unusual logins or permission changes.
3. Analyze network traffic to and from the Domain Controller around the time of the alert to identify any suspicious data transfers or connections.
4. Review all system and security logs for any related events that could indicate lateral movement or further execution of unauthorized commands.
5. Implement strict monitoring on the Domain Controller to detect further suspicious activities.
6. If malicious intent is confirmed\, isolate the affected system to prevent further impact and conduct a thorough forensic analysis to understand the scope of the breach.
7. Update firewall and intrusion detection system rules to block known malicious IP addresses and command-and-control servers identified during the investigation.",FALSE
32,NULL,1715100352,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security incident involving unmanaged PowerShell execution. The alert details are as follows:

- Alert ID: 1715100352.35824250
- Description: Binary loaded PowerShell automation library - Possible unmanaged PowerShell execution by suspicious process
- Agent: (056) - DC
- Rule: 92151
- MITRE ID: T1059.001
- Tactic: Execution
- Technique: PowerShell

Immediate Actions Required:
1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments.
2. Check the user context under which the PowerShell was executed to ascertain if it was authorized.
3. Review the system and application logs around the time of the alert to identify any related events or anomalies.
4. Isolate the affected system to prevent potential lateral movement or further unauthorized activities.
5. Perform a detailed forensic analysis on the affected system to determine the scope of the incident.
6. Update the security incident response team with findings and progress for coordinated response actions.",FALSE
33,NULL,1715102154,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving unmanaged PowerShell execution. The alert details a binary-loaded PowerShell automation library executed by a suspicious process on Agent (056) - DC. This activity is associated with MITRE ID T1059.001\, which pertains to the execution tactic\, specifically using PowerShell. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 4. Perform a detailed forensic analysis to determine the origin of the execution and assess any potential impact. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar attempts in the future.",FALSE
34,NULL,1715102161,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from the agent identified as '(056) - DC'. This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions are required to investigate and mitigate potential threats:

1. Verify the legitimacy of the PowerShell script execution by reviewing the script content and the context in which it was executed.
2. Check the user account under which the PowerShell was executed for any signs of compromise or unauthorized access.
3. Analyze logs for any anomalous activities or commands that were executed before and after the alert was triggered.
4. Isolate the affected system to prevent any lateral movement or further unauthorized activities.
5. Conduct a thorough scan of the system using updated antivirus and anti-malware tools to detect any related malicious software or scripts.
6. Review and strengthen security policies and controls around the use of administrative privileges and script execution.",FALSE
35,NULL,1715103952,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving unmanaged PowerShell execution. The alert details are as follows:

- Alert ID: 1715103951.83128323
- Description: Binary loaded PowerShell automation library - Possible unmanaged PowerShell execution by suspicious process
- Agent: (056) - DC
- Rule: 92151
- MITRE ID: T1059.001
- Tactic: Execution
- Technique: PowerShell

Immediate actions recommended:
1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments.
2. Check the user account under which the PowerShell was executed to ascertain if it was authorized.
3. Review logs for any prior unusual activity associated with this agent or user accounts involved.
4. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities.
5. Conduct a full system scan to ensure no other malicious activities or payloads are present.
6. Update and enforce system and network-level security policies to restrict unauthorized use of PowerShell.
7. Notify the cybersecurity incident response team to initiate a detailed investigation and remediation plan.",FALSE
36,NULL,1715103961,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",PowerShell Script Execution Detected,"A WAZUH alert has been triggered indicating the use of a PowerShell script on the domain controller (Agent 056 - DC). The script utilized the 'Invoke-command' cmdlet to execute a sub-script. This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions are required to investigate and mitigate potential security threats. Steps include: 1. Review the PowerShell execution logs to identify the commands executed and determine the scope of the script's actions. 2. Verify the integrity and legitimacy of the script's source and purpose. 3. Assess the impact on the system and network to check for any unauthorized changes or data exfiltration. 4. Update or implement detection rules in WAZUH to monitor similar PowerShell activities. 5. Conduct a thorough security audit on the domain controller to ensure no residual threats remain.",FALSE
37,NULL,1715105821,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell\, which was executed on agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which describes techniques involving the execution of PowerShell scripts. This could potentially be a security breach as PowerShell is often used by attackers to execute commands remotely. Immediate actions required include: 1. Review the PowerShell execution policy and audit settings on the affected DC agent to ensure they are configured to log detailed information about script executions. 2. Examine the PowerShell logs for any commands that were executed recently to identify potentially malicious scripts or commands. 3. Check for any new\, unknown\, or unauthorized accounts created on the system\, as these could indicate further compromise. 4. Isolate the affected system from the network to prevent any lateral movement or further unauthorized activities. 5. Perform a full system scan using updated antivirus and anti-malware software to detect and remove any associated threats. 6. Review and update all security policies and incident response protocols to address and mitigate the impact of such incidents.",FALSE
38,NULL,1715105997,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, suggesting possible unmanaged PowerShell execution by a suspicious process on Agent (056) - DC. The associated MITRE ID for this activity is T1059.001\, categorized under the 'Execution' tactic and 'PowerShell' technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the process path and command line arguments. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 4. Perform a detailed forensic analysis on the affected system to determine the origin\, scope\, and impact of the execution. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar threats in the future.",FALSE
39,NULL,1715107620,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell to execute a script. This activity was detected on agent (056) - DC\, associated with rule 91822. The MITRE framework identifies this as Technique T1059.001 under the Tactic 'Execution'. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing the command and script content. 2. Check the user account that initiated the command for any signs of compromise or unauthorized access. 3. Review logs for any prior unusual activity associated with this agent or user accounts. 4. Isolate the affected system to prevent any potential spread or further unauthorized actions. 5. Conduct a full system scan for malware or other malicious tools. 6. Update and enforce endpoint security measures to detect and mitigate similar attempts.",FALSE
40,NULL,1715107798,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, suggesting possible unmanaged PowerShell execution by a suspicious process on Agent (056) - DC. The associated MITRE ID for this activity is T1059.001\, categorized under the 'Execution' tactic with the 'PowerShell' technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the process and command line arguments involved. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 4. Perform a detailed forensic analysis to determine the origin of the execution and assess any potential breach or data exfiltration. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar attempts in the future.",FALSE
41,NULL,1715109480,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from the agent identified as '(056) - DC'. This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing the associated PowerShell script and its origin. 2. Analyze the command and parameters used in the 'Invoke-command' cmdlet for any malicious intent. 3. Check the user account under which the PowerShell was executed to assess whether it has been compromised. 4. Review logs for any prior unusual activity associated with this agent or user accounts. 5. Isolate the affected system to prevent any potential lateral movement or further unauthorized actions. 6. Update and enforce endpoint detection and response (EDR) rules to detect similar activities in the future.",FALSE
54,NULL,1715120403,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell\, which was executed on agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, under the tactic 'Execution' and the technique 'PowerShell'. Immediate actions required include: 1. Verify the legitimacy of the script execution context and the user initiating it. 2. Review the command and script contents executed by the 'Invoke-command' cmdlet for any malicious intent or unauthorized operations. 3. Check the PowerShell logs for any preceding or subsequent suspicious commands or scripts. 4. Assess the scope of the execution to determine if it has affected other systems or data. 5. Implement stricter execution policies for scripts\, especially those involving critical system configurations or sensitive data access.",FALSE
42,NULL,1715109634,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, which suggests possible unmanaged and suspicious PowerShell activity. The affected agent is identified as (056) - DC. This activity is associated with MITRE ID T1059.001\, categorized under the 'Execution' tactic and 'PowerShell' technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized actions. 4. Perform a detailed forensic analysis to determine the source and intent of the execution. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar attempts in the future.",FALSE
